町名,男,女,合計,世帯,市町村名,郵便番号,緯度,経度
字弁天,0,0,0,0,苫小牧市字弁天,059-1371,42.6135532,141.8018727
北栄町,"1,972","1,808","3,780","1,811",苫小牧市北栄町,059-1304,42.67766674,141.6838041
北星町,306,327,633,325,苫小牧市北星町,059-1277,42.60573478,141.4745289
北光町,"1,511","1,522","3,033","1,439",苫小牧市北光町,053-0852,42.63653364,141.5755751
本町,148,132,280,192,苫小牧市本町,053-0025,42.62938792,141.5939342
本幸町,138,135,273,177,苫小牧市本幸町,053-0015,42.62825194,141.5942926
真砂町,0,0,0,0,苫小牧市真砂町,059-1373,42.63293014,141.6777417
松風町,98,218,316,250,苫小牧市松風町,053-0841,42.63767164,141.5586776
字丸山,0,0,0,0,苫小牧市字丸山,066-0271,42.72649459,141.5040847
字美沢,119,99,218,161,苫小牧市字美沢,059-1361,42.73996586,141.7144271
美園町,"2,017","1,865","3,882","2,084",苫小牧市美園町,053-0041,42.65928312,141.6157035
緑町,"1,214","1,184","2,398","1,483",苫小牧市緑町,053-0032,42.64240079,141.600793
港町,1,1,2,1,苫小牧市港町,053-0004,42.6305609,141.6155617
美原町,"1,192","1,248","2,440","1,098",苫小牧市美原町,059-1262,42.61029153,141.5044343
宮の森町,431,483,914,485,苫小牧市宮の森町,053-0844,42.63525665,141.5257382
見山町,"1,007","1,157","2,164","1,207",苫小牧市見山町,053-0855,42.63750527,141.5645295
宮前町,"1,135","1,150","2,285","1,100",苫小牧市宮前町,059-1264,42.60309948,141.4844477
明徳町,"1,293","1,569","2,862","1,627",苫小牧市明徳町,059-1273,42.61125997,141.4890691
もえぎ町,523,555,"1,078",554,苫小牧市もえぎ町,059-1274,42.60914836,141.4756287
元町,311,290,601,361,苫小牧市元町,053-0804,42.62451862,141.5828365
元中野町,"1,027",906,"1,933","1,266",苫小牧市元中野町,053-0005,42.64095162,141.6168412
矢代町,581,621,"1,202",697,苫小牧市矢代町,053-0803,42.62526562,141.5794397
柳町,728,771,"1,499",794,苫小牧市柳町,053-0053,42.6516622,141.6293306
山手町,613,804,"1,417",906,苫小牧市山手町,053-0851,42.64079691,141.5722834
弥生町,640,933,"1,573","1,012",苫小牧市弥生町,053-0802,42.62748489,141.5814502
字勇払,871,897,"1,768",951,苫小牧市字勇払,059-1372,42.6280742,141.7276154
若草町,748,786,"1,534",876,苫小牧市若草町,053-0021,42.64078183,141.608981
